_CustomObjectKey,STATUS,ID_TITULO,ID_PLANO,ID_SERIE
15585268,A,51375,"PM60C ",AA
15585269,A,51377,"PM60C ",AA
15585270,A,51378,"PM60C ",AA
15585271,A,51386,"PM60C ",AA
15585272,A,51388,"PM60C ",AA
15585273,A,51389,"PM60C ",AA
15585274,A,51390,"PM60C ",AA
15585275,A,51392,"PM60C ",AA
15585276,A,51393,"PM60C ",AA
15585277,A,28039,"48PMA ",AA
15585278,A,45378,"48PMD ",AA
15585279,A,77628,"PM60E ",AA
15585280,A,77631,"PM60E ",AA
15585281,A,77633,"PM60E ",AA
15585282,A,77634,"PM60E ",AA
15585283,A,77635,"PM60E ",AA
15585284,A,77636,"PM60E ",AA
15585285,A,77639,"PM60E ",AA
15585286,A,77640,"PM60E ",AA
15585287,A,77642,"PM60E ",AA
15585288,A,77644,"PM60E ",AA
15585289,A,77645,"PM60E ",AA
15585290,A,77646,"PM60E ",AA
15585291,A,77647,"PM60E ",AA
15585292,A,77649,"PM60F ",AA
15585293,A,77908,"PM60C ",AA
15585294,A,77909,"PM60C ",AA
15585295,A,77912,"PM60C ",AA
15585296,A,77914,"PM60C ",AA
15585297,A,77929,"PM60D ",AA
15585298,A,77937,"PM60C ",AA
15585299,A,78171,"PM60D ",AA
15585300,A,78174,"PM60C ",AA
15585301,A,78175,"PM60C ",AA
15585302,A,45987,"48PMA ",AA
15585303,A,78457,"PM60D ",AA
15585304,A,78467,"PM60C ",AA
15585305,A,78468,"PM60D ",AA
15585306,A,82378,"PM60E ",AA
15585307,A,82393,"PM60E ",AA
15585308,A,82394,"PM60E ",AA
15585309,A,82510,"PM60E ",AA
15585310,A,82511,"PM60F ",AA
15585311,A,82512,"PM60E ",AA
15585312,A,82514,"PM60E ",AA
15585313,A,82515,"PM60G ",AA
15585314,A,82516,"PM60E ",AA
15585315,A,82517,"PM60E ",AA
15585316,A,82518,"PM60E ",AA
15585317,A,82519,"PM60E ",AA
15585318,A,82521,"PM60E ",AA
15585319,A,82522,"PM60E ",AA
15585320,A,82523,"PM60E ",AA
15585321,A,82524,"PM60G ",AA
15585322,A,82526,"PM60E ",AA
15585323,A,82527,"PM60F ",AA
15585324,A,82528,"PM60E ",AA
15585325,A,82530,"PM60E ",AA
15585326,A,82531,"PM60G ",AA
15585327,A,82532,"PM60E ",AA
15585328,A,82535,"PM60E ",AA
