_CustomObjectKey,Plano,Sorteio,Dia da semana,Semanalmente,Dispara dias antes,Ocorre_Apenas_Na_Primeira_Semana,Janeiro,Fevereiro,Marco,Abril,Maio,Junho,Julho,Agosto,Setembro,Outubro,Novembro,Dezembro,Premio_Email,Descricao
236,F48PU,Sorteio 1,Wednesday,False,7,True,True,True,True,True,True,True,True,True,True,True,True,True,10 vezes o valor do seu Título PU,"Sorteio mensal, realizado na primeira quarta-feira de cada mês civil"
237,F48PU,Sorteio 2,Saturday,False,5,True,False,False,False,False,True,False,False,False,False,False,True,False,100 vezes o valor do seu Título PU,Sorteio semestral realizado no primeiro sábado dos meses de Maio e Novembro
238,F48PU,Sorteio 3,Wednesday,False,5,True,False,False,False,False,False,False,False,False,False,False,False,True,1.250 vezes o valor do seu Título PU,"Sorteio anual, realizado na primeira quarta-feira do mês de dezembro"
239,A36PM,Sorteio 1,Wednesday,False,7,True,True,True,True,True,True,True,True,True,True,True,True,True,10 vezes o valor da parcela,"sorteio mensal de 10 (dez) vezes o valor da última contribuição mensal, realizado na primeira quarta-feira de cada mês civil"
240,A36PM,Sorteio 2,Wednesday,False,8,True,True,True,True,True,True,True,True,True,True,True,True,True,100 vezes o valor da parcela,sorteio mensal realizado na primeira quarta-feira de cada mês civil
241,A36PM,Sorteio 3,Wednesday,False,5,True,False,False,False,False,False,False,False,False,False,False,False,True,10.000 vezes o valor da parcela,"Sorteio anual, realizado na primeira quarta-feira do mês de Dezembro"
242,B36PM,Sorteio 1,Wednesday,False,7,True,True,True,True,True,True,True,True,True,True,True,True,True,10 vezes o valor da parcela,"sorteio mensal de 10 (dez) vezes o valor da última contribuição mensal, realizado na primeira quarta-feira de cada mês civil"
243,B36PM,Sorteio 2,Wednesday,False,8,True,True,True,True,True,True,True,True,True,True,True,True,True,100 vezes o valor da parcela,sorteio mensal realizado na primeira quarta-feira de cada mês civil
244,B36PM,Sorteio 3,Wednesday,False,5,True,False,False,False,False,False,False,False,False,False,False,False,True,10.000 vezes o valor da parcela,"Sorteio anual, realizado na primeira quarta-feira do mês de Dezembro"
245,C36PM,Sorteio 1,Wednesday,False,7,True,True,True,True,True,True,True,True,True,True,True,True,True,10 vezes o valor da parcela,"sorteio mensal de 10 (dez) vezes o valor da última contribuição mensal, realizado na primeira quarta-feira de cada mês civil"
246,C36PM,Sorteio 2,Wednesday,False,8,True,True,True,True,True,True,True,True,True,True,True,True,True,100 vezes o valor da parcela,sorteio mensal realizado na primeira quarta-feira de cada mês civil
247,C36PM,Sorteio 3,Wednesday,False,5,True,False,False,False,False,False,False,False,False,False,False,False,True,10.000 vezes o valor da parcela,"Sorteio anual, realizado na primeira quarta-feira do mês de Dezembro"
248,D36PM,Sorteio 1,Wednesday,False,7,True,True,True,True,True,True,True,True,True,True,True,True,True,10 vezes o valor da parcela,"sorteio mensal de 10 (dez) vezes o valor da última contribuição mensal, realizado na primeira quarta-feira de cada mês civil"
249,D36PM,Sorteio 2,Wednesday,False,8,True,True,True,True,True,True,True,True,True,True,True,True,True,100 vezes o valor da parcela,sorteio mensal realizado na primeira quarta-feira de cada mês civil
250,D36PM,Sorteio 3,Wednesday,False,5,True,False,False,False,False,False,False,False,False,False,False,False,True,10.000 vezes o valor da parcela,"Sorteio anual, realizado na primeira quarta-feira do mês de Dezembro"
251,E36PM,Sorteio 1,Wednesday,False,7,True,True,True,True,True,True,True,True,True,True,True,True,True,10 vezes o valor da parcela,"sorteio mensal de 10 (dez) vezes o valor da última contribuição mensal, realizado na primeira quarta-feira de cada mês civil"
252,E36PM,Sorteio 2,Wednesday,False,8,True,True,True,True,True,True,True,True,True,True,True,True,True,100 vezes o valor da parcela,sorteio mensal realizado na primeira quarta-feira de cada mês civil
253,E36PM,Sorteio 3,Wednesday,False,5,True,False,False,False,False,False,False,False,False,False,False,False,True,10.000 vezes o valor da parcela,"Sorteio anual, realizado na primeira quarta-feira do mês de Dezembro"
254,F36PM,Sorteio 1,Wednesday,False,7,True,True,True,True,True,True,True,True,True,True,True,True,True,10 vezes o valor da parcela,"sorteio mensal de 10 (dez) vezes o valor da última contribuição mensal, realizado na primeira quarta-feira de cada mês civil"
255,F36PM,Sorteio 2,Wednesday,False,8,True,True,True,True,True,True,True,True,True,True,True,True,True,100 vezes o valor da parcela,sorteio mensal realizado na primeira quarta-feira de cada mês civil
256,F36PM,Sorteio 3,Wednesday,False,5,True,False,False,False,False,False,False,False,False,False,False,False,True,10.000 vezes o valor da parcela,"Sorteio anual, realizado na primeira quarta-feira do mês de Dezembro"
257,A48PM,Sorteio 1,Wednesday,False,7,True,True,True,True,True,True,True,True,True,True,True,True,True,10 vezes o valor da parcela,"sorteio mensal de 10 (dez) vezes o valor da última contribuição mensal, realizado na primeira quarta-feira de cada mês civil"
258,A48PM,Sorteio 2,Wednesday,False,8,True,True,True,True,True,True,True,True,True,True,True,True,True,100 vezes o valor da parcela,sorteio mensal realizado na primeira quarta-feira de cada mês civil
259,A48PM,Sorteio 3,Wednesday,False,5,True,False,False,False,False,False,False,False,False,False,False,False,True,10.000 vezes o valor da parcela,"Sorteio anual, realizado na primeira quarta-feira do mês de Dezembro"
260,B48PM,Sorteio 1,Wednesday,False,7,True,True,True,True,True,True,True,True,True,True,True,True,True,10 vezes o valor da parcela,"sorteio mensal de 10 (dez) vezes o valor da última contribuição mensal, realizado na primeira quarta-feira de cada mês civil"
261,B48PM,Sorteio 2,Wednesday,False,8,True,True,True,True,True,True,True,True,True,True,True,True,True,100 vezes o valor da parcela,sorteio mensal realizado na primeira quarta-feira de cada mês civil
262,B48PM,Sorteio 3,Wednesday,False,5,True,False,False,False,False,False,False,False,False,False,False,False,True,10.000 vezes o valor da parcela,"Sorteio anual, realizado na primeira quarta-feira do mês de Dezembro"
263,C48PM,Sorteio 1,Wednesday,False,7,True,True,True,True,True,True,True,True,True,True,True,True,True,10 vezes o valor da parcela,"sorteio mensal de 10 (dez) vezes o valor da última contribuição mensal, realizado na primeira quarta-feira de cada mês civil"
264,C48PM,Sorteio 2,Wednesday,False,8,True,True,True,True,True,True,True,True,True,True,True,True,True,100 vezes o valor da parcela,sorteio mensal realizado na primeira quarta-feira de cada mês civil
265,C48PM,Sorteio 3,Wednesday,False,5,True,False,False,False,False,False,False,False,False,False,False,False,True,10.000 vezes o valor da parcela,"Sorteio anual, realizado na primeira quarta-feira do mês de Dezembro"
266,D48PM,Sorteio 1,Wednesday,False,7,True,True,True,True,True,True,True,True,True,True,True,True,True,10 vezes o valor da parcela,"sorteio mensal de 10 (dez) vezes o valor da última contribuição mensal, realizado na primeira quarta-feira de cada mês civil"
267,D48PM,Sorteio 2,Wednesday,False,8,True,True,True,True,True,True,True,True,True,True,True,True,True,100 vezes o valor da parcela,sorteio mensal realizado na primeira quarta-feira de cada mês civil
268,D48PM,Sorteio 3,Wednesday,False,5,True,False,False,False,False,False,False,False,False,False,False,False,True,10.000 vezes o valor da parcela,"Sorteio anual, realizado na primeira quarta-feira do mês de Dezembro"
269,E48PM,Sorteio 1,Wednesday,False,7,True,True,True,True,True,True,True,True,True,True,True,True,True,10 vezes o valor da parcela,"sorteio mensal de 10 (dez) vezes o valor da última contribuição mensal, realizado na primeira quarta-feira de cada mês civil"
270,E48PM,Sorteio 2,Wednesday,False,8,True,True,True,True,True,True,True,True,True,True,True,True,True,100 vezes o valor da parcela,sorteio mensal realizado na primeira quarta-feira de cada mês civil
271,E48PM,Sorteio 3,Wednesday,False,5,True,False,False,False,False,False,False,False,False,False,False,False,True,10.000 vezes o valor da parcela,"Sorteio anual, realizado na primeira quarta-feira do mês de Dezembro"
272,F48PM,Sorteio 1,Wednesday,False,7,True,True,True,True,True,True,True,True,True,True,True,True,True,10 vezes o valor da parcela,"sorteio mensal de 10 (dez) vezes o valor da última contribuição mensal, realizado na primeira quarta-feira de cada mês civil"
273,F48PM,Sorteio 2,Wednesday,False,8,True,True,True,True,True,True,True,True,True,True,True,True,True,100 vezes o valor da parcela,sorteio mensal realizado na primeira quarta-feira de cada mês civil
274,F48PM,Sorteio 3,Wednesday,False,5,True,False,False,False,False,False,False,False,False,False,False,False,True,10.000 vezes o valor da parcela,"Sorteio anual, realizado na primeira quarta-feira do mês de Dezembro"
275,G48PM,Sorteio 1,Wednesday,False,7,True,True,True,True,True,True,True,True,True,True,True,True,True,10 vezes o valor da parcela,"sorteio mensal de 10 (dez) vezes o valor da última contribuição mensal, realizado na primeira quarta-feira de cada mês civil"
276,G48PM,Sorteio 2,Wednesday,False,8,True,True,True,True,True,True,True,True,True,True,True,True,True,100 vezes o valor da parcela,sorteio mensal realizado na primeira quarta-feira de cada mês civil
277,G48PM,Sorteio 3,Wednesday,False,5,True,False,False,False,False,False,False,False,False,False,False,False,True,10.000 vezes o valor da parcela,"Sorteio anual, realizado na primeira quarta-feira do mês de Dezembro"
