_CustomObjectKey,Plano,Sorteio,Dia da semana,Semanalmente,Dispara dias antes,Ocorre_Apenas_Na_Primeira_Semana,Janeiro,Fevereiro,Marco,Abril,Maio,Junho,Julho,Agosto,Setembro,Outubro,Novembro,Dezembro,Premio_Email,Descricao
135,F48PU,Sorteio 3,Wednesday,False,-5,True,False,False,False,False,False,False,False,False,False,False,False,True,1.250 vezes o valor do seu Título PU,"Sorteio anual, realizado na primeira quarta-feira do mês de dezembro"
136,A36PM,Sorteio 1,Wednesday,False,-7,True,True,True,True,True,True,True,True,True,True,True,True,True,Prêmio de 10 vezes o valor da parcela,"sorteio mensal de 10 (dez) vezes o valor da última contribuição mensal, realizado na primeira quarta-feira de cada mês civil"
137,A36PM,Sorteio 2,Wednesday,False,-8,True,True,True,True,True,True,True,True,True,True,True,True,True,Prêmio de 100 vezes o valor da parcela,sorteio mensal realizado na primeira quarta-feira de cada mês civil
138,A36PM,Sorteio 3,Wednesday,False,-5,True,False,False,False,False,False,False,False,False,False,False,False,True,Prêmio de 10.000 vezes o valor da parcela,"Sorteio anual, realizado na primeira quarta-feira do mês de Dezembro"
139,B36PM,Sorteio 1,Wednesday,False,-7,True,True,True,True,True,True,True,True,True,True,True,True,True,Prêmio de 10 vezes o valor da parcela,"sorteio mensal de 10 (dez) vezes o valor da última contribuição mensal, realizado na primeira quarta-feira de cada mês civil"
140,B36PM,Sorteio 2,Wednesday,False,-8,True,True,True,True,True,True,True,True,True,True,True,True,True,Prêmio de 100 vezes o valor da parcela,sorteio mensal realizado na primeira quarta-feira de cada mês civil
141,B36PM,Sorteio 3,Wednesday,False,-5,True,False,False,False,False,False,False,False,False,False,False,False,True,Prêmio de 10.000 vezes o valor da parcela,"Sorteio anual, realizado na primeira quarta-feira do mês de Dezembro"
142,C36PM,Sorteio 1,Wednesday,False,-7,True,True,True,True,True,True,True,True,True,True,True,True,True,Prêmio de 10 vezes o valor da parcela,"sorteio mensal de 10 (dez) vezes o valor da última contribuição mensal, realizado na primeira quarta-feira de cada mês civil"
143,C36PM,Sorteio 2,Wednesday,False,-8,True,True,True,True,True,True,True,True,True,True,True,True,True,Prêmio de 100 vezes o valor da parcela,sorteio mensal realizado na primeira quarta-feira de cada mês civil
144,C36PM,Sorteio 3,Wednesday,False,-5,True,False,False,False,False,False,False,False,False,False,False,False,True,Prêmio de 10.000 vezes o valor da parcela,"Sorteio anual, realizado na primeira quarta-feira do mês de Dezembro"
145,D36PM,Sorteio 1,Wednesday,False,-7,True,True,True,True,True,True,True,True,True,True,True,True,True,Prêmio de 10 vezes o valor da parcela,"sorteio mensal de 10 (dez) vezes o valor da última contribuição mensal, realizado na primeira quarta-feira de cada mês civil"
146,D36PM,Sorteio 2,Wednesday,False,-8,True,True,True,True,True,True,True,True,True,True,True,True,True,Prêmio de 100 vezes o valor da parcela,sorteio mensal realizado na primeira quarta-feira de cada mês civil
147,D36PM,Sorteio 3,Wednesday,False,-5,True,False,False,False,False,False,False,False,False,False,False,False,True,Prêmio de 10.000 vezes o valor da parcela,"Sorteio anual, realizado na primeira quarta-feira do mês de Dezembro"
148,E36PM,Sorteio 1,Wednesday,False,-7,True,True,True,True,True,True,True,True,True,True,True,True,True,Prêmio de 10 vezes o valor da parcela,"sorteio mensal de 10 (dez) vezes o valor da última contribuição mensal, realizado na primeira quarta-feira de cada mês civil"
149,E36PM,Sorteio 2,Wednesday,False,-8,True,True,True,True,True,True,True,True,True,True,True,True,True,Prêmio de 100 vezes o valor da parcela,sorteio mensal realizado na primeira quarta-feira de cada mês civil
150,E36PM,Sorteio 3,Wednesday,False,-5,True,False,False,False,False,False,False,False,False,False,False,False,True,Prêmio de 10.000 vezes o valor da parcela,"Sorteio anual, realizado na primeira quarta-feira do mês de Dezembro"
151,F36PM,Sorteio 1,Wednesday,False,-7,True,True,True,True,True,True,True,True,True,True,True,True,True,Prêmio de 10 vezes o valor da parcela,"sorteio mensal de 10 (dez) vezes o valor da última contribuição mensal, realizado na primeira quarta-feira de cada mês civil"
152,F36PM,Sorteio 2,Wednesday,False,-8,True,True,True,True,True,True,True,True,True,True,True,True,True,Prêmio de 100 vezes o valor da parcela,sorteio mensal realizado na primeira quarta-feira de cada mês civil
153,F36PM,Sorteio 3,Wednesday,False,-5,True,False,False,False,False,False,False,False,False,False,False,False,True,Prêmio de 10.000 vezes o valor da parcela,"Sorteio anual, realizado na primeira quarta-feira do mês de Dezembro"
154,A48PM,Sorteio 1,Wednesday,False,-7,True,True,True,True,True,True,True,True,True,True,True,True,True,Prêmio de 10 vezes o valor da parcela,"sorteio mensal de 10 (dez) vezes o valor da última contribuição mensal, realizado na primeira quarta-feira de cada mês civil"
155,A48PM,Sorteio 2,Wednesday,False,-8,True,True,True,True,True,True,True,True,True,True,True,True,True,Prêmio de 100 vezes o valor da parcela,sorteio mensal realizado na primeira quarta-feira de cada mês civil
156,A48PM,Sorteio 3,Wednesday,False,-5,True,False,False,False,False,False,False,False,False,False,False,False,True,Prêmio de 10.000 vezes o valor da parcela,"Sorteio anual, realizado na primeira quarta-feira do mês de Dezembro"
157,B48PM,Sorteio 1,Wednesday,False,-7,True,True,True,True,True,True,True,True,True,True,True,True,True,Prêmio de 10 vezes o valor da parcela,"sorteio mensal de 10 (dez) vezes o valor da última contribuição mensal, realizado na primeira quarta-feira de cada mês civil"
158,B48PM,Sorteio 2,Wednesday,False,-8,True,True,True,True,True,True,True,True,True,True,True,True,True,Prêmio de 100 vezes o valor da parcela,sorteio mensal realizado na primeira quarta-feira de cada mês civil
159,B48PM,Sorteio 3,Wednesday,False,-5,True,False,False,False,False,False,False,False,False,False,False,False,True,Prêmio de 10.000 vezes o valor da parcela,"Sorteio anual, realizado na primeira quarta-feira do mês de Dezembro"
