_CustomObjectKey,ID_TITULO,ID_SERIE,ID_PLANO,DATA_SORTEIO
414036,297577,AA,"PU36C ",2018-10-06
414037,286812,AA,"PM486 ",2018-10-06
414038,532390,AA,"PM604 ",2018-10-06
414039,3161745,AA,"PU12C ",2018-09-26
414040,185164,AA,"PM601 ",2017-08-26
414041,357253,AA,"PM601 ",2017-08-26
414042,37207,AA,"PM484 ",2017-08-26
414043,123210,AA,"PM363 ",2018-05-19
414044,447233,AA,"PM483 ",2018-05-19
414045,2999938,AA,"PU12C ",2018-07-13
414046,550966,AA,"PM48D ",2018-11-03
414047,58340,AA,"PM606 ",2018-11-03
414048,264836,AC,"PU367 ",2017-11-04
414049,26086,AA,"PM24D ",2017-11-04
414050,700756,AA,"PU36C ",2017-11-04
414051,240592,AA,"PM601 ",2018-10-13
414052,392637,AA,"PM601 ",2017-12-16
414053,509863,AA,"PM601 ",2017-12-16
414054,256626,AA,"PM604 ",2017-12-16
414055,468529,AA,"PM601 ",2018-04-14
414056,269927,AA,"PM604 ",2018-04-14
414057,215984,AA,"PM60V ",2018-04-14
414058,49095,EE,"PM48E ",2018-08-22
414059,378507,AA,"PM604 ",2018-09-01
414060,40016,AB,"PM604 ",2017-10-07
414061,86296,AA,"PM365 ",2017-12-30
414062,325026,AA,"PM483 ",2017-12-30
414063,40247,AB,"PU36H ",2017-12-30
414064,302140,AA,"PM483 ",2018-10-06
414065,79204,AA,"PM363 ",2018-10-06
414066,188898,AB,"PU36C ",2018-10-06
414067,274909,AA,"PM483 ",2018-10-06
414068,3201312,AA,"PU12C ",2018-10-16
414069,379790,AA,"PM601 ",2018-05-19
414070,198342,AA,"PM601 ",2018-05-19
414071,124149,AA,"PM604 ",2018-11-03
414072,533163,AA,"PM483 ",2018-11-03
414073,440325,AB,"PU36C ",2018-11-03
414074,2532866,AA,"PU12C ",2017-09-06
414075,2517101,AA,"PU12C ",2017-09-06
414076,744756,AA,"PU36C ",2017-11-04
414077,78457,AA,"PM601 ",2017-08-05
414078,467778,AA,"PM601 ",2017-08-05
414079,40465,AA,"PM484 ",2017-08-05
414080,81744,AA,"PM484 ",2017-07-08
414081,210725,AA,"PM48O ",2017-07-08
414082,103653,AA,"PM484 ",2018-04-14
414083,12544,AA,"PM601 ",2017-10-21
414084,143181,AA,"PM483 ",2017-10-07
414085,142065,AA,"PM488 ",2017-10-07
414086,393901,AA,"PM601 ",2017-10-07
414087,2906989,AA,"PU12C ",2018-05-16
414088,87967,AA,"PM604 ",2018-08-18
414089,301604,AA,"PM483 ",2018-10-06
414090,290258,AA,"PM488 ",2018-10-06
414091,719791,AA,"PM604 ",2018-10-13
414092,47603,AA,"PM364 ",2018-10-13
414093,205350,AA,"PM604 ",2018-08-25
414094,26603,AA,"36PM3 ",2018-08-25
414095,245046,AA,"PM604 ",2017-08-26
414096,550929,AA,"PM604 ",2017-10-21
414097,144765,AA,"PM363 ",2018-11-03
414098,18866,AB,"PM604 ",2018-08-04
414099,73787,AA,"PM484 ",2018-08-04
414100,497322,AA,"PM488 ",2018-08-04
414101,127650,AA,"PM484 ",2017-08-05
414102,370161,AA,"PM601 ",2017-07-08
414103,86580,AA,"PM604 ",2017-07-08
414104,456275,AA,"PM604 ",2017-07-08
414105,1965,AB,"PM604 ",2017-07-08
414106,320336,AA,"PM487 ",2017-12-16
414107,417620,AA,"PM483 ",2018-04-14
414108,40585,AA,"PM484 ",2018-04-14
414109,403683,AD,"PU369 ",2017-10-21
414110,39917,AA,"PM604 ",2017-10-21
414111,2581405,AA,"PU12C ",2017-10-06
414112,250900,AA,"PM604 ",2017-10-07
414113,97504,AA,"PU481 ",2017-10-07
414114,361311,AA,"PM60V ",2018-08-18
414115,72657,AA,"PM484 ",2018-08-18
414116,124030,AA,"PM604 ",2018-08-18
414117,276822,AA,"PM488 ",2018-10-06
414118,281001,AA,"PM488 ",2018-10-06
414119,281746,AA,"PM48H ",2018-10-06
414120,88187,AA,"PM484 ",2018-08-25
414121,507211,AA,"PM483 ",2018-08-25
414122,447356,AA,"PM483 ",2018-05-19
414123,481266,AA,"PM604 ",2018-05-19
414124,293716,AA,"PM488 ",2017-11-04
414125,2757217,AA,"PU12C ",2018-02-07
414126,45152,AA,"PM24D ",2018-08-04
414127,71152,AA,"PM24R ",2018-08-04
414128,517664,AB,"PU36C ",2018-08-04
414129,180661,AA,"PM604 ",2017-08-05
414130,332182,AA,"PM604 ",2017-08-05
414131,424403,AA,"PM604 ",2017-12-16
414132,419178,AA,"PM488 ",2018-04-14
414133,308754,AA,"PM601 ",2018-04-14
414134,63427,AB,"PM604 ",2018-04-14
414135,2606738,AA,"PU12C ",2017-10-20
414136,2600230,AA,"PU12C ",2017-10-20
414137,586759,AA,"PM604 ",2017-10-21
414138,32874,AA,"PM367 ",2017-10-07
414139,71407,AA,"PM365 ",2017-10-07
414140,111818,AA,"PM488 ",2017-10-07
414141,31139,AF,"PU368 ",2017-08-05
414142,54899,AA,"PM484 ",2017-08-05
414143,799256,AB,"PU368 ",2017-08-05
414144,142883,AA,"PM363 ",2018-09-29
414145,159013,AC,"PU368 ",2017-08-26
414146,75415,AC,"PU36H ",2018-05-19
414147,42160,AA,"PM364 ",2018-06-23
414148,217822,AA,"PM604 ",2018-06-23
414149,678756,AA,"PU36H ",2017-11-04
414150,798756,AA,"PU36H ",2017-11-04
414151,538706,AA,"PM483 ",2021-12-04
414152,563975,AA,"PM483 ",2021-12-04
414153,305512,AA,"A48PM ",2021-05-05
414154,43766,AA,"PMA48 ",2021-05-05
414155,576384,AA,"PM48G ",2021-12-04
414156,516461,AA,"PM486 ",2021-12-04
414157,619870,AA,"PM488 ",2021-12-04
414158,566963,AA,"PM48O ",2021-12-04
414159,312779,AA,"PM483 ",2021-08-07
414160,324506,AA,"PM483 ",2021-08-07
414161,338395,AA,"PM483 ",2021-08-07
414162,358389,AA,"PM483 ",2021-08-07
414163,54553,AA,"PMD60 ",2021-05-05
414164,67212,AA,"PMC60 ",2021-05-05
414165,26071,AA,"PM607 ",2021-12-04
414166,37856,AA,"36PM2 ",2021-12-04
414167,457624,AA,"PM483 ",2021-08-07
414168,84527,AA,"PMI48 ",2021-05-05
414169,14257,AA,"PMA36 ",2021-05-05
414170,61834,AA,"PMG48 ",2021-05-05
414171,37028,AA,"PMC60 ",2021-04-07
414172,47475,AA,"PMC48 ",2021-04-07
414173,76955,AA,"PMI48 ",2021-04-07
414174,219357,AA,"PUA36 ",2021-05-05
414175,42235,AA,"PMD60 ",2021-05-05
414176,64593,AA,"PMC60 ",2021-05-05
414177,59055,AA,"PMC60 ",2021-04-07
414178,34595,AA,"PMC60 ",2021-04-07
414179,493310,AA,"PM485 ",2021-02-06
414180,320280,AA,"PM483 ",2021-02-06
414181,513449,AA,"PM488 ",2021-02-06
414182,436338,AA,"PM488 ",2021-02-06
414183,513650,AA,"PM488 ",2021-02-06
414184,127578,AA,"PM367 ",2021-02-06
414185,135498,AA,"PM365 ",2021-02-06
414186,560008,AA,"PM483 ",2021-02-06
414187,541421,AA,"PM483 ",2021-02-06
414188,464360,AA,"PM488 ",2021-02-06
