_CustomObjectKey,ID_TITULO,ID_SERIE,ID_PLANO,ID_TITULO_SALESFORCE,DATA_SORTEIO
22876,5851,AA,"B60PM ",a0o6g000005g3tEAAQ,2021-08-04
22877,21021,AA,"A36PM ",a0o6g000005gEHPAA2,2022-01-05
22878,82440,AA,"A60PM ",a0o6g000005yt3AAAQ,2022-01-05
22879,386733,AA,"PM483 ",a0o6g000005gdIRAAY,2022-01-01
22880,112459,AA,"PMI48 ",a0o6g000005vR2kAAE,2021-12-01
22881,31457,AA,"PM60E ",a0o6g000005hI0pAAE,2021-07-07
22882,48487,AA,"PMD60 ",a0o6g000005hNVYAA2,2021-12-01
22883,10765,AA,"PMC60 ",a0o6g000006CPeGAAW,2021-07-07
22884,453214,AA,"PM48I ",a0o6g000005hHNyAAM,2021-08-07
22885,24316,AA,"PM607 ",a0o6g000006ClszAAC,2021-12-04
22886,8613,AA,"PMG60 ",a0o6g000006Cr6jAAC,2021-07-07
22887,17901,AA,"A60PM ",a0o6g000006DIg7AAG,2021-08-04
22888,106843,AA,"A48PM ",a0o6g000005i3pLAAQ,2022-01-05
22889,19954,AA,"PMC60 ",a0o6g000005i55tAAA,2021-07-07
22890,211431,AA,"A60PM ",a0o6g000005yBK9AAM,2021-10-06
22891,498937,AA,"PM483 ",a0o6g000005iHxzAAE,2021-12-04
22892,457624,AA,"PM483 ",a0o6g000005iDq1AAE,2021-08-07
22893,34072,AA,"D60PM ",a0o6g000006EhLXAA0,2021-11-03
22894,88881,AA,"A48PM ",a0o6g000005idqiAAA,2022-01-05
22895,560754,AA,"PM486 ",a0o6g000005inI8AAI,2021-07-03
22896,240637,AA,"A48PM ",a0o6g00000641unAAA,2021-07-07
22897,563422,AA,"PM486 ",a0o6g0000060uUOAAY,2021-12-18
22898,407444,AA,"PM488 ",a0o6g0000061kngAAA,2022-01-01
22899,19037,AA,"PM607 ",a0o6g000005k6gRAAQ,2021-08-07
22900,590753,AA,"PM488 ",a0o6g000005jmGPAAY,2021-07-03
22901,230676,AA,"A60PM ",a0o6g000005kfxDAAQ,2021-09-01
22902,60633,AA,"A60PM ",a0o6g00000616YcAAI,2022-01-05
22903,78133,AA,"F48PM ",a0o6g0000063LCdAAM,2021-11-03
22904,37233,AA,"A36PM ",a0o6g0000061JynAAE,2021-10-06
22905,195874,AA,"A48PM ",a0o6g0000061V9qAAE,2021-10-06
22906,20652,AA,"A60PM ",a0o6g000006DBdxAAG,2021-08-04
22907,56109,AA,"PML48 ",a0o6g000005kdHqAAI,2021-12-01
22908,240332,AA,"A60PM ",a0o6g0000063zWuAAI,2021-09-01
22909,93182,AA,"PMA48 ",a0o6g000005zBW5AAM,2021-12-01
22910,18964,AA,"PM605 ",a0o6g0000066HM2AAM,2021-08-07
22911,473128,AA,"PM483 ",a0o6g000005zFDfAAM,2022-01-01
22912,439692,AA,"PM486 ",a0o6g0000066lVAAAY,2022-01-01
22913,316063,AA,"PUA36 ",a0o6g0000066NL0AAM,2021-12-01
22914,617438,AA,"PM48G ",a0o6g000006FPzCAAW,2021-07-03
22915,379399,AA,"PM483 ",a0o6g000005m1NzAAI,2021-08-07
22916,24791,AA,"PM606 ",a0o6g000006GD7IAAW,2022-01-15
22917,48660,AA,"B48PM ",a0o6g000006FaeVAAS,2021-11-03
22918,615504,AA,"PM488 ",a0o6g00000689klAAA,2021-07-03
22919,27456,AA,"PME60 ",a0o6g000006GhFdAAK,2021-07-07
22920,122100,AA,"PMI48 ",a0o6g0000068caNAAQ,2021-12-01
22921,467354,AA,"PM486 ",a0o6g0000068PhhAAE,2022-01-01
22922,72523,AA,"PMD48 ",a0o6g0000068f4oAAA,2021-12-01
22923,84550,AA,"A60PM ",a0o6g000005miakAAA,2022-01-05
22924,112932,AA,"PMN48 ",a0o6g000005mUUIAA2,2021-12-01
22925,262622,AA,"F48PM ",a0o6g000006IsqwAAC,2021-07-07
22926,93402,AA,"PMD60 ",a0o6g0000069HbBAAU,2021-12-01
22927,51542,AA,"48PMA ",a0o6g0000069tdwAAA,2021-07-07
22928,211651,AA,"A60PM ",a0o6g000005n2yIAAQ,2021-10-06
22929,536700,AA,"PM48I ",a0o6g000005sCF4AAM,2021-12-04
22930,455540,AA,"PM489 ",a0o6g000006AdsIAAS,2022-01-01
22931,223439,AA,"A60PM ",a0o6g000006BTFzAAO,2021-09-01
22932,459334,AA,"PM488 ",a0o6g000006MtIDAA0,2022-01-01
22933,10490,AA,"PMA48 ",a0o6g000005nVkDAAU,2021-07-07
22934,11400,AA,"PMC60 ",a0o6g000005nwvkAAA,2021-07-07
22935,18543,AA,"PM606 ",a0o6g000006BOGHAA4,2022-01-01
22936,467989,AA,"PM483 ",a0o6g000006N6fEAAS,2021-07-03
22937,105586,AA,"PMD48 ",a0o6g000006BtWYAA0,2021-12-01
22938,73320,AA,"A48PM ",a0o6g000005o2XCAAY,2022-01-05
22939,81579,AA,"PMF48 ",a0o6g000005oAp0AAE,2021-12-01
22940,168467,AA,"PM363 ",a0o6g000006CgQ9AAK,2021-07-03
22941,600194,AA,"PM483 ",a0o6g000005oVSeAAM,2021-07-03
22942,430590,AA,"PM488 ",a0o6g000005odOgAAI,2021-07-03
22943,15924,AA,"PM605 ",a0o6g000005oew6AAA,2021-10-02
22944,101658,AA,"PM60C ",a0o6g000005ophaAAA,2021-07-07
22945,97000,AA,"D48PM ",a0o6g000006E81OAAS,2022-01-05
22946,26726,AA,"PMC60 ",a0o6g000005p2bzAAA,2021-12-01
22947,112318,AA,"PMD48 ",a0o6g000006EwlEAAS,2021-12-01
22948,96169,AA,"PMA48 ",a0o6g000006ELXDAA4,2021-12-01
22949,227854,AA,"A60PM ",a0o6g000006FRwYAAW,2021-10-06
22950,89534,AA,"B48PM ",a0o6g000005pLHYAA2,2022-01-05
22951,68688,AA,"48PMI ",a0o6g000006FBdrAAG,2021-07-07
22952,204016,AA,"A48PM ",a0o6g000006FJRFAA4,2021-10-06
22953,128227,AA,"PMA48 ",a0o6g000005pZbsAAE,2021-12-01
22954,81301,AA,"PMG60 ",a0o6g0000068IKhAAM,2021-12-01
22955,32338,AA,"PM605 ",a0o6g000005q0yMAAQ,2021-08-07
22956,299351,AA,"A48PM ",a0o6g000006GHokAAG,2021-08-04
22957,18002,AA,"A60PM ",a0o6g000005qHWoAAM,2021-08-04
22958,55214,AA,"PMA48 ",a0o6g000005q8woAAA,2021-12-01
22959,92929,AA,"PUF36 ",a0o6g000005qZXyAAM,2021-07-03
22960,228224,AA,"A60PM ",a0o6g000005qZq7AAE,2021-10-06
22961,200073,AA,"A48PM ",a0o6g000006IBWmAAO,2021-09-01
22962,277112,AA,"PM483 ",a0o6g000005qeMIAAY,2021-08-07
22963,50065,AA,"B48PM ",a0o6g000005qLcKAAU,2021-11-03
22964,580353,AA,"PM48O ",a0o6g000006IZ2QAAW,2021-07-03
22965,79788,AA,"PMI48 ",a0o6g000005qnVfAAI,2021-12-01
22966,207294,AA,"A60PM ",a0o6g000005qSPHAA2,2021-10-06
22967,203981,AA,"A48PM ",a0o6g000005qdLKAAY,2021-10-06
22968,430206,AA,"PM48G ",a0o6g000006IXXqAAO,2021-07-03
22969,44532,AA,"PMC60 ",a0o6g0000062YsFAAU,2021-12-01
22970,319076,AA,"PM488 ",a0o6g000005qko6AAA,2021-08-07
22971,65431,AA,"48PMC ",a0o6g000005rJCeAAM,2021-07-07
22972,19625,AA,"PMC60 ",a0o6g000006Kf7ZAAS,2021-07-07
22973,547193,AA,"PM488 ",a0o6g000005rakjAAA,2021-12-04
22974,15951,AA,"PM606 ",a0o6g000005rqTQAAY,2022-01-01
22975,32185,AA,"PM60D ",a0o6g000006MdXPAA0,2021-07-07
22976,28536,AA,"PMF48 ",a0o6g000006MjuoAAC,2021-12-01
22977,8098,AA,"PMI48 ",a0o6g000005s1bBAAQ,2021-07-07
22978,99293,AA,"PMN48 ",a0o6g000005t6JzAAI,2021-12-01
22979,95467,AA,"PM60E ",a0o6g000005snHNAAY,2021-07-07
22980,86158,AA,"A60PM ",a0o6g000005t2CxAAI,2022-01-05
22981,52365,AA,"PM60C ",a0o6g000005tsgOAAQ,2021-07-07
22982,55467,AA,"PM606 ",a0o6g000005uKXCAA2,2021-12-04
22983,228160,AA,"B60PM ",a0o6g000005u5xSAAQ,2021-10-06
22984,408474,AA,"PM483 ",a0o6g000005w05aAAA,2022-01-01
22985,408554,AA,"PM483 ",a0o6g000005w1jIAAQ,2021-08-07
22986,83887,AA,"A48PM ",a0o6g000005wTyGAAU,2021-11-03
22987,2237,AB,"E48PM ",a0o6g000005w7p1AAA,2021-11-03
22988,144957,AA,"PMG48 ",a0o6g000005wW9sAAE,2021-08-04
22989,56316,AA,"PMA48 ",a0o6g000005wYD2AAM,2021-12-01
22990,101230,AA,"D48PM ",a0o6g000005wOIKAA2,2022-01-05
22991,65848,AA,"PMA48 ",a0o6g000005x0ALAAY,2021-12-01
22992,37109,AA,"PM60C ",a0o6g000005xR2aAAE,2021-07-07
22993,469743,AA,"PM48H ",a0o6g000005xdOKAAY,2021-08-21
22994,458759,AA,"PM489 ",a0o6g000005y55xAAA,2021-07-03
22995,420203,AA,"PM483 ",a0o6g000005yYIfAAM,2021-08-07
22996,314963,AA,"PUA36 ",a0o6g000005yZYVAA2,2021-12-01
22997,8020,AA,"C36PM ",a0o6g000005yLyWAAU,2021-08-04
22998,4808,AA,"36PMS ",a0o6g000005z7WaAAI,2021-07-07
22999,23200,AA,"D48PM ",a0o6g000005zDxpAAE,2021-08-04
23000,71429,AA,"PM60C ",a0o6g000005zfitAAA,2021-07-07
23001,26611,AB,"A48PM ",a0o6g00000A2S5FAAV,2022-01-05
23002,446600,AA,"PM48H ",a0o6g000005zs9ZAAQ,2021-07-03
23003,87589,AA,"PM60C ",a0o6g000005zydYAAQ,2021-07-07
23004,83637,AA,"PMC60 ",a0o6g0000060UZaAAM,2021-12-01
23005,40111,AA,"36PM2 ",a0o6g0000060fkRAAQ,2021-07-03
23006,204166,AA,"A48PM ",a0o6g0000060DxMAAU,2021-09-01
23007,393214,AA,"PM487 ",a0o6g0000060y6YAAQ,2022-01-01
23008,25722,AA,"A60PM ",a0o6g0000061hPQAAY,2021-11-03
23009,38677,AA,"PM60C ",a0o6g0000061pFCAAY,2021-07-07
23010,98513,AA,"PME60 ",a0o6g0000062PdyAAE,2021-08-04
23011,2144,AA,"PME60 ",a0o6g0000062bHiAAI,2021-07-07
23012,217010,AA,"A60PM ",a0o6g00000629ZXAAY,2021-09-01
23013,484564,AA,"PM488 ",a0o6g00000634Z7AAI,2021-12-04
23014,2095,AA,"PMB36 ",a0o6g0000062xuRAAQ,2021-07-07
23015,44814,AA,"PM606 ",a0o6g0000063cofAAA,2022-01-01
23016,615713,AA,"PM488 ",a0o6g0000063THaAAM,2021-07-03
23017,113708,AA,"PMF48 ",a0o6g0000063ZpIAAU,2021-12-01
23018,72687,AA,"A60PM ",a0o6g0000064NWkAAM,2022-01-05
23019,227820,AA,"B60PM ",a0o6g000006516DAAQ,2021-09-01
23020,218372,AA,"D60PM ",a0o6g0000065WBpAAM,2021-10-06
23021,233715,AA,"A60PM ",a0o6g0000065MKUAA2,2021-10-06
23022,167340,AA,"PM363 ",a0o6g0000065N3lAAE,2021-07-03
23023,147827,AA,"PM363 ",a0o6g000005iX2oAAE,2021-07-03
23024,442446,AA,"PM483 ",a0o6g000005meLFAAY,2021-08-07
23025,83958,AA,"PMC60 ",a0o6g000005lzoRAAQ,2021-12-01
23026,70889,AA,"A48PM ",a0o6g0000067LERAA2,2021-11-03
23027,387696,AA,"PM486 ",a0o6g000005pJHBAA2,2022-01-01
23028,5769,AA,"C36PM ",a0o6g00000677YBAAY,2021-08-04
23029,42011,AA,"B60PM ",a0o6g0000067AF8AAM,2021-11-03
23030,303674,AA,"A60PM ",a0o6g000005tfhNAAQ,2021-07-07
23031,85228,AA,"A48PM ",a0o6g0000067mNLAAY,2022-01-05
23032,56945,AA,"A60PM ",a0o6g0000068f0jAAA,2021-11-03
23033,211581,AA,"A60PM ",a0o6g000005wYrgAAE,2021-10-06
23034,20584,AA,"B36PM ",a0o6g000005uCOgAAM,2022-01-05
23035,60226,AA,"PM606 ",a0o6g000005tSASAA2,2021-12-04
23036,12116,AA,"PM605 ",a0o6g000006GRFsAAO,2021-10-02
23037,38851,AA,"A48PM ",a0o6g000006AGbhAAG,2021-11-03
23038,43454,AA,"PMG60 ",a0o6g000005evbQAAQ,2021-12-01
23039,557556,AA,"PM488 ",a0o6g000006AWhrAAG,2021-12-04
23040,48244,AA,"A60PM ",a0o6g000005ykq9AAA,2021-11-03
23041,321730,AA,"A60PM ",a0o6g000005hWFiAAM,2021-12-01
23042,54087,AA,"B48PM ",a0o6g0000060hX3AAI,2021-11-03
23043,39129,AA,"A60PM ",a0o6g000005yO9VAAU,2021-11-03
23044,67391,AA,"E48PM ",a0o6g000006BFtaAAG,2021-11-03
23045,32666,AA,"PM607 ",a0o6g0000067dV6AAI,2021-08-07
23046,331510,AA,"A60PM ",a0o6g000005eqDbAAI,2021-08-04
23047,594899,AA,"PM485 ",a0o6g000006B23gAAC,2021-07-03
23048,516825,AA,"PM483 ",a0o6g000005gO6KAAU,2021-12-04
23049,208220,AA,"F48PM ",a0o6g0000060AdWAAU,2021-09-01
23050,612462,AA,"PM48O ",a0o6g0000061YHSAA2,2021-07-03
23051,15627,AA,"PM607 ",a0o6g000005qBgKAAU,2021-07-03
23052,34981,AA,"A60PM ",a0o6g000005rAitAAE,2021-11-03
23053,377822,AA,"PM486 ",a0o6g000005u66EAAQ,2022-01-01
23054,15165,AA,"E48PM ",a0o6g000005gaRRAAY,2021-08-04
23055,5103,AA,"A48PM ",a0o6g00000698ogAAA,2021-08-04
23056,21525,AA,"A36PM ",a0o6g000006BVsYAAW,2022-01-05
23057,459272,AA,"PM483 ",a0o6g000006BWAOAA4,2021-08-07
23058,45641,AA,"PMA48 ",a0o6g0000063LYLAA2,2021-12-01
23059,58329,AA,"D48PM ",a0o6g000006C6LXAA0,2021-11-03
23060,21458,AA,"PME60 ",a0o6g000006GbjgAAC,2021-07-07
23061,96576,AA,"PMI48 ",a0o6g000005hDzRAAU,2021-12-01
23062,20841,AA,"PM607 ",a0o6g000006BnKFAA0,2021-11-06
23063,221107,AA,"A60PM ",a0o6g0000065J6AAAU,2021-10-06
23064,452076,AA,"PM483 ",a0o6g0000065xiyAAA,2021-08-07
23065,59227,AA,"A60PM ",a0o6g00000669myAAA,2022-01-05
23066,24658,AA,"PME60 ",a0o6g0000064jRNAAY,2021-12-01
23067,8775,AA,"B36PM ",a0o6g000006CTvBAAW,2021-08-04
23068,110263,AA,"PMG48 ",a0o6g0000065O78AAE,2021-12-01
23069,217164,AA,"A60PM ",a0o6g000005nyAaAAI,2021-10-06
23070,31502,AA,"PM60E ",a0o6g000005dS88AAE,2021-07-07
23071,543402,AA,"PM48G ",a0o6g000006A0ZxAAK,2021-12-04
23072,405934,AA,"PM489 ",a0o6g000006ARg0AAG,2021-07-03
23073,216980,AA,"A48PM ",a0o6g000006AcKoAAK,2021-09-01
23074,424939,AA,"PM483 ",a0o6g000006EUDdAAO,2022-01-01
23075,36748,AA,"A36PM ",a0o6g000006EdguAAC,2021-10-06
23076,21064,AA,"PME60 ",a0o6g000006Ei2OAAS,2021-07-07
23077,65856,AA,"A60PM ",a0o6g000006ENRhAAO,2022-01-05
23078,515152,AA,"PM48I ",a0o6g000006FJw1AAG,2021-12-04
23079,606049,AA,"PM483 ",a0o6g000006FbwaAAC,2021-07-03
23080,69023,AA,"A48PM ",a0o6g000006F2frAAC,2022-01-05
23081,84055,AA,"D60PM ",a0o6g000006IoDAAA0,2022-01-05
23082,488190,AA,"PM489 ",a0o6g000005knYSAAY,2021-12-04
23083,90939,AA,"B48PM ",a0o6g000006FjZBAA0,2022-01-05
23084,65576,AA,"PM60C ",a0o6g0000066lt0AAA,2021-07-07
23085,240695,AA,"A60PM ",a0o6g000005lwttAAA,2021-09-01
23086,25505,AA,"PMA48 ",a0o6g000005hwaJAAQ,2021-07-07
23087,22810,AA,"PMC48 ",a0o6g000006Id4XAAS,2021-07-07
23088,38890,AA,"A60PM ",a0o6g000006GeS6AAK,2021-11-03
23089,551060,AA,"PM48D ",a0o6g000006LF6sAAG,2021-12-04
23090,501684,AA,"PM483 ",a0o6g000006GN1wAAG,2021-12-04
23091,17560,AA,"A60PM ",a0o6g000006H1f9AAC,2021-08-04
23092,572950,AA,"PM483 ",a0o6g000006GaT3AAK,2021-07-03
23093,20901,AA,"PM606 ",a0o6g000006FIIUAA4,2021-09-04
23094,206,AB,"C60PM ",a0o6g000006N4hYAAS,2021-08-04
23095,8602,AB,"PUH48 ",a0o6g000006HmbPAAS,2021-12-04
23096,203797,AA,"PM486 ",a0o6g000006HlkGAAS,2021-09-04
23097,24216,AA,"PMC60 ",a0o6g000005kQV1AAM,2021-12-01
23098,69318,AA,"A48PM ",a0o6g000006JG6WAAW,2021-11-03
23099,50447,AA,"PM607 ",a0o6g0000064l21AAA,2021-08-07
23100,233512,AA,"A60PM ",a0o6g000006Jr2lAAC,2021-10-06
