_CustomObjectKey,id_titulo,id_titular,id_subscritor,id_cliente,num_titulo,serie,plano,origem,id_titulo_darwin
3472397,a0o6g00000H9MKSAA3,a0i6g00000AhffAAAR,a0i6g00000AhffAAAR,0016g00002RJlluAAD,87671,AC,A60PM,CAP,87671
3472398,a0o6g00000H9MKVAA3,a0i6g00000AhffHAAR,a0i6g00000AhffHAAR,0016g00002RJrXRAA1,10226,AD,A60PM,CAP,10226
3472399,a0o6g00000H9MKWAA3,a0i6g00000AhffJAAR,a0i6g00000AhffJAAR,0016g00002RJwweAAD,135171,AA,B36PM,CAP,135171
3472400,a0o6g00000H9MKXAA3,a0i6g00000Ahcr6AAB,a0i6g00000Ahcr6AAB,0016g00002RJx6xAAD,543373,AA,D48PM,CAP,543373
3472401,a0o6g00000H9MKYAA3,a0i6g00000AhZ9dAAF,a0i6g00000AhZ9dAAF,0016g00002RJwrOAAT,350127,AA,A48PU,CAP,350127
3472402,a0o6g00000H9MKdAAN,a0i6g00000AhffSAAR,a0i6g00000AhffSAAR,0016g00002RJzZWAA1,10232,AD,A60PM,CAP,10232
3472403,a0o6g00000H9MKgAAN,a0i6g00000Ahfc4AAB,a0i6g00000Ahfc4AAB,0016g00002RJr2oAAD,346022,AB,A60PM,CAP,346022
3472404,a0o6g00000H9MKhAAN,a0i6g00000AhZC2AAN,a0i6g00000AhZC2AAN,0016g00002RJnbNAAT,346024,AB,A60PM,CAP,346024
3472405,a0o6g00000H9MKjAAN,a0i6g00000AhfcAAAR,a0i6g00000AhfcAAAR,0016g00002RK0NKAA1,88630,AC,A60PM,CAP,88630
3472406,a0o6g00000H9MKlAAN,a0i6g00000AhfcFAAR,a0i6g00000AhfcFAAR,0016g00002RK1KtAAL,88132,AC,A60PM,CAP,88132
3472407,a0o6g00000H9MKpAAN,a0i6g00000AhcqCAAR,a0i6g00000AhcqCAAR,0016g00002RK20qAAD,87677,AC,A60PM,CAP,87677
3472408,a0o6g00000H9MKsAAN,a0i6g00000AhfcPAAR,a0i6g00000AhfcPAAR,0016g00002RJmAPAA1,88134,AC,A60PM,CAP,88134
3472409,a0o6g00000H9MKuAAN,a0i6g00000AhcmiAAB,a0i6g00000AhcmiAAB,0016g00002RJvpaAAD,87680,AC,A60PM,CAP,87680
3472410,a0o6g00000H9ML6AAN,a0i6g00000AhfczAAB,a0i6g00000AhfczAAB,0016g00002RJn8aAAD,88135,AC,A60PM,CAP,88135
3472411,a0o6g00000H9ML8AAN,a0i6g00000AhcmGAAR,a0i6g00000AhcmGAAR,0016g00002RJyKAAA1,10244,AD,A60PM,CAP,10244
3472412,a0o6g00000H9ML9AAN,a0i6g00000AhcnpAAB,a0i6g00000AhcnpAAB,0016g00002RK13KAAT,88136,AC,A60PM,CAP,88136
3472413,a0o6g00000H9MLBAA3,a0i6g00000Ahfd5AAB,a0i6g00000Ahfd5AAB,0016g00002RJsCzAAL,10245,AD,A60PM,CAP,10245
3472414,a0o6g00000H9MLEAA3,a0i6g00000AhfdBAAR,a0i6g00000AhfdBAAR,0016g00002RJqlHAAT,346031,AB,A60PM,CAP,346031
3472415,a0o6g00000H9MLIAA3,a0i6g00000Ahcl0AAB,a0i6g00000Ahcl0AAB,0016g00002RJqWVAA1,350436,AA,B48PU,CAP,350436
3472416,a0o6g00000H9MLKAA3,a0i6g00000AhfdIAAR,a0i6g00000AhfdIAAR,0016g00002RJslWAAT,88140,AC,A60PM,CAP,88140
3472417,a0o6g00000H9MLRAA3,a0i6g00000AhfWCAAZ,a0i6g00000AhfWCAAZ,0016g00002RJwS5AAL,350421,AA,A48PU,CAP,350421
3472418,a0o6g00000H9MLTAA3,a0i6g00000AhclHAAR,a0i6g00000AhclHAAR,0016g00002RJvQEAA1,350422,AA,A48PU,CAP,350422
